linea,tiempo_hms,segundos,texto_original,texto_limpio,tramo,motivo_exclusion
166,00:20:35,1235,"Son los dos equipos que más adelantadas tiene la defensa, Jordi. Por eso se aspiran los espacios, o sea, unos a otros, ¿eh? Y estamos viendo duelos","Son los dos equipos que más adelantadas tiene la defensa, Jordi. Por eso se aspiran los espacios, o sea, unos a otros, ¿eh? Y estamos viendo duelos",partido,
167,00:20:44,1244,"individuales, acciones de altísimo impacto, de de máxima intensidad. el partido sin haber ocasiones tras guapísimo. Corre Mbappé. ¿Dónde ha idoquip Peña?","individuales, acciones de altísimo impacto, de máxima intensidad. el partido sin haber ocasiones tras guapísimo. Corre Mbappé. ¿Dónde ha idoquip Peña?",partido,
168,00:20:53,1253,Vamos a ver Killan. Mbappé esperando para recortar. Vamos a ver para qué le va a dejar el balón a Vinicius. Vinicius tiene la oportunidad. No me lo puedo creer. Había fuera de juego. Había fuera,Vamos a ver Killan. Mbappé esperando para recortar. Vamos a ver para qué le va a dejar el balón a Vinicius. Vinicius tiene la oportunidad. No me lo puedo creer. Había fuera de juego. Había fuera,partido,
169,00:21:02,1262,"de juego. El árbitro ha hecho lo que debe de hacer, es decir, esperar aunque haya visto que es fuera de juego, que es","de juego. El árbitro ha hecho lo que debe de hacer, es decir, esperar aunque haya visto que es fuera de juego, que es",partido,
170,00:21:09,1269,"bastante claro, por cierto. Ahí lo tenemos, porque Lewandowski se mueve, Kubarí se mueve hacia adentro. Pues hay que esperar a que acabe la acción. Y si","bastante claro, por cierto. Ahí lo tenemos, porque Lewandowski se mueve, Kubarí se mueve hacia adentro. Pues hay que esperar a que acabe la acción. Y si",partido,
171,00:21:18,1278,"marca eh Vinicius y no hay fuera de juego, por eso se espera.","marca eh Vinicius y no hay fuera de juego, por eso se espera.",partido,
172,00:21:23,1283,"Y espectacular la imagen que nos compañeros como Kubarsí aguanta el equilibrio para no entrar en fuera de juego, la línea que le marca Iñigo y un","Y espectacular la imagen que nos compañeros como Kubarsí aguanta el equilibrio para no entrar en fuera de juego, la línea que le marca Iñigo y un",partido,
173,00:21:32,1292,"pero el ataque del Real Madrid un pero corregible. Los desmarques siempre suelen ser mejor por adante la defensa, Jordi, porque así sabe dónde está la","pero el ataque del Real Madrid un pero corregible. Los desmarques siempre suelen ser mejor por adante la defensa, Jordi, porque así sabe dónde está la",partido,
174,00:21:40,1300,defensa. O en el caso de Barça por detrás de medio campo si tiene luego muchos metros para para atacar el espacio.,defensa. O en el caso de Barça por detrás de medio campo si tiene luego muchos metros para para atacar el espacio.,partido,
175,00:21:48,1308,"Bueno, ahora hay discusión por dónde debe ponerse el balón en circulación y tenemos al capitán Rafiña hablando con Sandia Martínez y Vinicius","Bueno, ahora hay discusión por dónde debe ponerse el balón en circulación y tenemos al capitán Rafiña hablando con Sandia Martínez y Vinicius",partido,
176,00:21:56,1316,"que le está diciendo, ""Por favor que me estás cortando el rollo."" Juega otra vez Iñaki Peña. 20 minutos de la primera parte con 0-0. Vaya pase de Ñakiqui","que le está diciendo, ""Por favor que me estás cortando el rollo."" Juega otra vez Iñaki Peña. 20 minutos de la primera parte con 0-0. Vaya pase de Ñakiqui",partido,
177,00:22:04,1324,"Peña, ahora hacia Paco Barí. Saque de banda para el equipo blanco. Iñaki Peña no tuvo del todo fino. Va a ser Camavinga el jugador que ponga de nuevo","Peña, ahora hacia Paco Barí. Saque de banda para el equipo blanco. Iñaki Peña no tuvo del todo fino. Va a ser Camavinga el jugador que ponga de nuevo",partido,
178,00:22:13,1333,el balón en circulación este con Rudiger. Rudiger desde la línea divisoria a la espalda de la defensa.,el balón en circulación este con Rudiger. Rudiger desde la línea divisoria a la espalda de la defensa.,partido,
179,00:22:19,1339,Jud Bellingham adelantado. Intenta bajar el balón el jugador inglés. Otro fuera de juego del equipo blanco. Tirando bien la defensa al Barça.,Jud Bellingham adelantado. Intenta bajar el balón el jugador inglés. Otro fuera de juego del equipo blanco. Tirando bien la defensa al Barça.,partido,
180,00:22:27,1347,"Muy bien, muy coordinada. O sea, esto no es casualidad, esto hay un trabajo y sobre todo hay una jerarquía de Ñigo Martínez y una confianza en en hacerlo","Muy bien, muy coordinada. O sea, esto no es casualidad, esto hay un trabajo y sobre todo hay una jerarquía de Ñigo Martínez y una confianza en en hacerlo",partido,
181,00:22:35,1355,"porque resultados son buenos. Fíjate, 4-0 en fuera de juegos. Y lo que hablábamos de Ñakiqui Peña, cuando juega Terestegen no le va a presionar nadie porque Terestegen te pasa líneas de","porque resultados son buenos. Fíjate, 4-0 en fuera de juegos. Y lo que hablábamos de Ñakiqui Peña, cuando juega Terestegen no le va a presionar nadie porque Terestegen te pasa líneas de",partido,
182,00:22:43,1363,pase. Él él te da pases que sobrepasan líneas Iñaki no. Por eso le van a presionar porque entiende que es una posibilidad de robar todo el que balón,pase. Él él te da pases que sobrepasan líneas Iñaki no. Por eso le van a presionar porque entiende que es una posibilidad de robar todo el que balón,partido,
183,00:22:51,1371,se haga sucio de sus pies. Con el balón en posición de lateral para meter ese balón hacia Robert Lewandowski. La deja pasar Rafiña tocando de primera buscando,se haga sucio de sus pies. Con el balón en posición de lateral para meter ese balón hacia Robert Lewandowski. La deja pasar Rafiña tocando de primera buscando,partido,
184,00:22:59,1379,"Fermín. La velocidad de Fermín, pero también la velocidad de Rudiger. Se equivocó la Miña mal. La Miña mal recorta, deja atrás a Rudiger. Balón para Rafiña que va a girar para meter el pase a Alejandro Valde o para disparar.","Fermín. La velocidad de Fermín, pero también la velocidad de Rudiger. Se equivocó la Miña mal. La Miña mal recorta, deja atrás a Rudiger. Balón para Rafiña que va a girar para meter el pase a Alejandro Valde o para disparar.",partido,
185,00:23:09,1389,"Tenía pase a Valde, pero Rafiña ha buscado el disparo desde la frontal del área. Rafiña que está en forma y se está","Tenía pase a Valde, pero Rafiña ha buscado el disparo desde la frontal del área. Rafiña que está en forma y se está",partido,
186,00:23:17,1397,justificando. Error de Rudiger. Acierto de la Miña mal. Y ese baile con el balón de Rafiña. Yo creo que ha habido un,justificando. Error de Rudiger. Acierto de la Miña mal. Y ese baile con el balón de Rafiña. Yo creo que ha habido un,partido,
187,00:23:25,1405,momento que Lucas Vázquez se va y ahí ve el espacio y busca el disparo porque es que todo el mundo estaba esperando el pase. Yo creo que Flick también.,momento que Lucas Vázquez se va y ahí ve el espacio y busca el disparo porque es que todo el mundo estaba esperando el pase. Yo creo que Flick también.,partido,
188,00:23:33,1413,"Todo el mundo, yo creo. Sí, sí, creo lo que están hablando y qué diferente, ¿no? El Real Madrid, mucho","Todo el mundo, yo creo. Sí, sí, creo lo que están hablando y qué diferente, ¿no? El Real Madrid, mucho",partido,
189,00:23:40,1420,"pase largo en reinicios, eh, todo intentando buscar la espalda defensa y el Barça a través de toques cortos.","pase largo en reinicios, eh, todo intentando buscar la espalda defensa y el Barça a través de toques cortos.",partido,
190,00:23:47,1427,"Ojo a Tubarí que ha placado ahí a Vinicius. Se la ha jugado, eh, Paco Garcí, evidentemente quiere medir el listón de la primera cartolina amarilla","Ojo a Tubarí que ha placado ahí a Vinicius. Se la ha jugado, eh, Paco Garcí, evidentemente quiere medir el listón de la primera cartolina amarilla",partido,
191,00:23:55,1435,"del partido. Bueno, le pone el brazo derecho en el hombre, en el hombro. Es falta y punto. 21 para 22. Juega de","del partido. Bueno, le pone el brazo derecho en el hombre, en el hombro. Es falta y punto. 21 para 22. Juega de",partido,
192,00:24:02,1442,"nuevo el equipo blanco. Ha cometido ya seis faltas el Fútbol Club Barcelona, solo una el Real Madrid. Toca Vinicius.","nuevo el equipo blanco. Ha cometido ya seis faltas el Fútbol Club Barcelona, solo una el Real Madrid. Toca Vinicius.",partido,
193,00:24:10,1450,Balón para Chení. Cómo está jugando el equipo blanco. Vinicius a la carrera.,Balón para Chení. Cómo está jugando el equipo blanco. Vinicius a la carrera.,partido,
194,00:24:13,1453,Ahí tenemos al futuro balón de Oro recortando y enviando el balón fuera.,Ahí tenemos al futuro balón de Oro recortando y enviando el balón fuera.,partido,
195,00:24:17,1457,"Impresionante, increíble que el partido esté todavía 0 a0, porque esto aquí no defiende absolutamente nadie o","Impresionante, increíble que el partido esté todavía 0 a0, porque esto aquí no defiende absolutamente nadie o",partido,
196,00:24:26,1466,prácticamente nadie. Vemos la acción en carrera de Vinicius. Mbappé que se se esperaba también tira el desmarque. Es que yo creo que si le deja el balón a,prácticamente nadie. Vemos la acción en carrera de Vinicius. Mbappé que se se esperaba también tira el desmarque. Es que yo creo que si le deja el balón a,partido,
197,00:24:34,1474,"Mbappé, claro, es gol.","Mbappé, claro, es gol.",partido,
198,00:24:36,1476,"Sí, ya pasó en Vigo con Belgan que Vinicius pues aquí no levanta la cabeza, ¿eh? Y luego la definición no es buena","Sí, ya pasó en Vigo con Belgan que Vinicius pues aquí no levanta la cabeza, ¿eh? Y luego la definición no es buena",partido,
199,00:24:45,1485,"del todo. Claro, eh, la pausa en el área que Vinicius lo hace todo rápido, si es capaz en el área de tener pausa,","del todo. Claro, eh, la pausa en el área que Vinicius lo hace todo rápido, si es capaz en el área de tener pausa,",partido,
200,00:24:52,1492,"le avantar la cabeza, muchas veces como atrae a tantos jugadores tiene alguno libre, pero no sería Vinicius.","le avantar la cabeza, muchas veces como atrae a tantos jugadores tiene alguno libre, pero no sería Vinicius.",partido,
201,00:24:59,1499,Pedri ha recibido un golpe en el tobillo en la anterior acción donde dejó seguir el árbitro Sánchez Martínez. Esperemos que no sea nada grave ahí en el peroné.,Pedri ha recibido un golpe en el tobillo en la anterior acción donde dejó seguir el árbitro Sánchez Martínez. Esperemos que no sea nada grave ahí en el peroné.,partido,
202,00:25:08,1508,Zona absolutamente dolorosa. Ahí vamos a ver la acción. repetida. Primero toca el jugador del Real Madrid y un pisotón de,Zona absolutamente dolorosa. Ahí vamos a ver la acción. repetida. Primero toca el jugador del Real Madrid y un pisotón de,partido,
203,00:25:16,1516,Chuamení y se le dobla hacia dentro. Ahí vemos como Pedri acaba recibiendo el pisotón.,Chuamení y se le dobla hacia dentro. Ahí vemos como Pedri acaba recibiendo el pisotón.,partido,
204,00:25:23,1523,"Quiere ira por el balón Chuamení, pero llega antes Pedri y el P lo tiene lanzado Choamí, es por eso que le pisa","Quiere ira por el balón Chuamení, pero llega antes Pedri y el P lo tiene lanzado Choamí, es por eso que le pisa",partido,
205,00:25:31,1531,"Pedri que se queja al colegiado. Ha arriesgado Chomerí. Lo mejor para el fútbol club Barcelona es que Pedri, que lo está flipando el dolor y porque el","Pedri que se queja al colegiado. Ha arriesgado Chomerí. Lo mejor para el fútbol club Barcelona es que Pedri, que lo está flipando el dolor y porque el",partido,
206,00:25:40,1540,"árbitro no ha señalado absolutamente nada, pero viendo la repetición yo creo que no se ha equivocado, ¿no?","árbitro no ha señalado absolutamente nada, pero viendo la repetición yo creo que no se ha equivocado, ¿no?",partido,
207,00:25:45,1545,"Bueno, si lo hubiera visto como nosotros igual sí que pero directo.","Bueno, si lo hubiera visto como nosotros igual sí que pero directo.",partido,
208,00:25:49,1549,"Claro, claro. Es que nosotros lo vemos justo en el momento exacto con la cámara enfocando en directo. Ese balón ya se había ido. Jordi, me preocupaba el","Claro, claro. Es que nosotros lo vemos justo en el momento exacto con la cámara enfocando en directo. Ese balón ya se había ido. Jordi, me preocupaba el",partido,
209,00:25:57,1557,"gesto, el tobillo de de Pedri porque, a ver, eh, ahora mismo en caliente, pero al descanso se le pondrá un poquito","gesto, el tobillo de Pedri porque, a ver, eh, ahora mismo en caliente, pero al descanso se le pondrá un poquito",partido,
210,00:26:04,1564,"morado, un poquito hinchado. Un S15 tiene grado seguramente no no alto, pero ahí sí que tienes un S1. Lo que pasa que estos jugadores tienen los tobios tan","morado, un poquito hinchado. Un S15 tiene grado seguramente no no alto, pero ahí sí que tienes un S1. Lo que pasa que estos jugadores tienen los tobios tan",partido,
211,00:26:12,1572,"laxos, tienen los ligamentos, bueno, por eso son deportistas, ¿no?, de élite, de máximo nivel.","laxos, tienen los ligamentos, bueno, por eso son deportistas, ¿no?, de élite, de máximo nivel.",partido,
212,00:26:18,1578,"Y además Fedri, jugador liviano, 23 para 24. La noticia es que el clásico está empatado a cero. Qué buena la acción","Y además Fedri, jugador liviano, 23 para 24. La noticia es que el clásico está empatado a cero. Qué buena la acción",partido,
213,00:26:26,1586,"ahora de Camavinga. La posición para el Barça, 53% pero no muy destacada por un 47 del equipo blanco. Mensajes para","ahora de Camavinga. La posición para el Barça, 53% pero no muy destacada por un 47 del equipo blanco. Mensajes para",partido,
214,00:26:34,1594,Esteban @esteban1unoportero @esteban1unoportero a través de Twitter.,Esteban @esteban1unoportero @esteban1unoportero a través de Twitter.,partido,
215,00:26:39,1599,La red actualmente denominada X. El mensaje es para mi persona. @jordipons-@jordipons-bajo.,La red actualmente denominada X. El mensaje es para mi persona. @jordipons-@jordipons-bajo.,partido,
216,00:26:45,1605,"Balón largo hacia Jud Bellingham. Va a llegar sin ningún tipo de problema Ñigo Martínez. Bellingham, que si quiere, estoy convencido, reivindicar en el partido de hoy. Ojo la caída ahora de","Balón largo hacia Jud Bellingham. Va a llegar sin ningún tipo de problema Ñigo Martínez. Bellingham, que si quiere, estoy convencido, reivindicar en el partido de hoy. Ojo la caída ahora de",partido,
217,00:26:54,1614,Chuamení con la falta de Mar Casadó que ha volado también por los aires y ha desequilibrado a Choameni justo cuando,Chuamení con la falta de Mar Casadó que ha volado también por los aires y ha desequilibrado a Choameni justo cuando,partido,
218,00:27:02,1622,estaba en el aire. Ahí le ve venir y cómo le pone la espalda. Es falta clara.,estaba en el aire. Ahí le ve venir y cómo le pone la espalda. Es falta clara.,partido,
219,00:27:06,1626,Le ha puesto la camita para que se dé de bruces con el verde en vivo de nuevo.,Le ha puesto la camita para que se dé de bruces con el verde en vivo de nuevo.,partido,
220,00:27:12,1632,Kilian Mbappé. Piden fuera de juego los jugadores del Barça. Tenemos a Camavinga.,Kilian Mbappé. Piden fuera de juego los jugadores del Barça. Tenemos a Camavinga.,partido,
221,00:27:18,1638,Y ahora el fuera de juego. De nuevo el fuera de juego porque Kilian Mbappé vuelve a quedar retratado. Creo que es,Y ahora el fuera de juego. De nuevo el fuera de juego porque Kilian Mbappé vuelve a quedar retratado. Creo que es,partido,
222,00:27:26,1646,"el quinto fuera de juego. La ansiedad de Kilian Mbappé por meterla dentro. Eh, sí, siempre eh si te das cuenta nunca","el quinto fuera de juego. La ansiedad de Kilian Mbappé por meterla dentro. Eh, sí, siempre eh si te das cuenta nunca",partido,
223,00:27:32,1652,"está mirando eh o está intentando atacar por delante de eh bueno, hacer una pequeña circunferencia para para evitar","está mirando eh o está intentando atacar por delante de eh bueno, hacer una pequeña circunferencia para para evitar",partido,
224,00:27:41,1661,"el fuera de juego, ¿no? En posición de de los defens. Sin embargo, Kubarcí, que suele ser que está por detrás, es el que mantiene la línea. Kubarí se ve a sus compañeros y ese que toma la decisión de arriesgar.","el fuera de juego, ¿no? En posición de los defens. Sin embargo, Kubarcí, que suele ser que está por detrás, es el que mantiene la línea. Kubarí se ve a sus compañeros y ese que toma la decisión de arriesgar.",partido,
225,00:27:51,1671,Robert Lewandowski casi sin querer se ha llevado ese balón con una espaldilla involuntaria. Robert Lewandowski en el,Robert Lewandowski casi sin querer se ha llevado ese balón con una espaldilla involuntaria. Robert Lewandowski en el,partido,
226,00:27:58,1678,"eh agarrón ahí de Rudiger se queja Robert Lewandowski también agarra la minamala Camavinga, se va al suelo. Es espectacular impresionante el ritmo, el","eh agarrón ahí de Rudiger se queja Robert Lewandowski también agarra la minamala Camavinga, se va al suelo. Es espectacular impresionante el ritmo, el",partido,
227,00:28:07,1687,"nivel, la ambición, el hambre que tienen los unos y los otros. De momento sin goles, 25 para 26. Agarrón de Paco Barsí para Vinicius. Vinicius que se quejaba, se activa de nuevo en Yaqui Peña","nivel, la ambición, el hambre que tienen los unos y los otros. De momento sin goles, 25 para 26. Agarrón de Paco Barsí para Vinicius. Vinicius que se quejaba, se activa de nuevo en Yaqui Peña",partido,
228,00:28:15,1695,"saliendo para tocar ese balón con la pierna derecha. Saque de banda para el Real Madrid. Tercera vez le está diciendo Vinicius, eh, que le agarra a","saliendo para tocar ese balón con la pierna derecha. Saque de banda para el Real Madrid. Tercera vez le está diciendo Vinicius, eh, que le agarra a",partido,
229,00:28:24,1704,"Kubarsí. Ahí se quejaba Vinicius, se ha ido a reclamarle al árbitro. Le sigue reclamando. Y Sánchez Martínez, que le está diciendo que se dedique a jugar.","Kubarsí. Ahí se quejaba Vinicius, se ha ido a reclamarle al árbitro. Le sigue reclamando. Y Sánchez Martínez, que le está diciendo que se dedique a jugar.",partido,
230,00:28:33,1713,Balón para Jot Bellingham. Vamos a ver la posición de J Bingham otra vez a la espalda de la defensa dentro del área.,Balón para Jot Bellingham. Vamos a ver la posición de J Bingham otra vez a la espalda de la defensa dentro del área.,partido,
231,00:28:38,1718,"Se le ha ido un poquito el control, se le ha ido un poquito bastante el control a Jud Bellingham y ese gesto de Paco Garcí, ese gesto también de Jud","Se le ha ido un poquito el control, se le ha ido un poquito bastante el control a Jud Bellingham y ese gesto de Paco Garcí, ese gesto también de Jud",partido,
232,00:28:46,1726,"Bellingham. Son rivales pero son deportistas. que le ha dado la mano y vamos a ver la posición de shoot Bellingham, no sé si yo creo que posiblemente estaba también en fuera de","Bellingham. Son rivales pero son deportistas. que le ha dado la mano y vamos a ver la posición de shoot Bellingham, no sé si yo creo que posiblemente estaba también en fuera de",partido,
233,00:28:54,1734,juego. Y Bellingham ahí que no calcula bien y después se resbala en la segunda superficie.,juego. Y Bellingham ahí que no calcula bien y después se resbala en la segunda superficie.,partido,
234,00:28:59,1739,"Sí, porque va con taco de aluminio y la el sintético resbala. Me parece muy importante lo que hizo Bellingan ahora.","Sí, porque va con taco de aluminio y la el sintético resbala. Me parece muy importante lo que hizo Bellingan ahora.",partido,
235,00:29:05,1745,Valde en largo para Rafiña. Va a salir para atrapar el balón sin demasiados problemas a Andril Lun que la deja ya para Mende.,Valde en largo para Rafiña. Va a salir para atrapar el balón sin demasiados problemas a Andril Lun que la deja ya para Mende.,partido,
236,00:29:13,1753,"Te decía, sobre todo Bellinga y Valverde desde segunda línea entrar a la línea de de fuera de juego desde atrás. Mejor a","Te decía, sobre todo Bellinga y Valverde desde segunda línea entrar a la línea de fuera de juego desde atrás. Mejor a",partido,
237,00:29:21,1761,lo mejor que Mbappé Vinicius que está muy muy al límite y encima están entrando en posición antirreglamentar.,lo mejor que Mbappé Vinicius que está muy muy al límite y encima están entrando en posición antirreglamentar.,partido,
238,00:29:26,1766,"Otra recuperación para el Barcelona con la Minamal cayendo desde el costado derecho. La falta de Vinicius cuando un jugador señala el balón es que ha tocado balón, pero ha tocado también algo más.","Otra recuperación para el Barcelona con la Minamal cayendo desde el costado derecho. La falta de Vinicius cuando un jugador señala el balón es que ha tocado balón, pero ha tocado también algo más.",partido,
239,00:29:36,1776,"La falta me parece bastante clara ahora sobre Marcasado, 21 años, el jugador nacido en San Pier Vilamor. Ahí tenemos","La falta me parece bastante clara ahora sobre Marcasado, 21 años, el jugador nacido en San Pier Vilamor. Ahí tenemos",partido,
240,00:29:43,1783,"la acción repetida. Bueno, creo que incluso no llega a tocar el balón en vivo de nuevo. Marcas con el 17 a la espalda, 21 años, séptima titularidad en","la acción repetida. Bueno, creo que incluso no llega a tocar el balón en vivo de nuevo. Marcas con el 17 a la espalda, 21 años, séptima titularidad en",partido,
241,00:29:52,1792,la liga. Fermín salva la acción de Camavinga. La Minal entregando el cuero para Pedri. Recuperado del pisotón que ha recibido Pedri a la izquierda para,la liga. Fermín salva la acción de Camavinga. La Minal entregando el cuero para Pedri. Recuperado del pisotón que ha recibido Pedri a la izquierda para,partido,
242,00:30:01,1801,"Alejandro Balde. Balde en el pico del área. Ahí le cierran bien el espacio, pero Pedri tiene opción de disparo.","Alejandro Balde. Balde en el pico del área. Ahí le cierran bien el espacio, pero Pedri tiene opción de disparo.",partido,
243,00:30:07,1807,Lurin para don Rafiña y si no llega Milit hubiera marcado Fermino Robert Lewandowski.,Lurin para don Rafiña y si no llega Milit hubiera marcado Fermino Robert Lewandowski.,partido,
244,00:30:14,1814,"Disparo potentísimo de Pedri. Y qué bien ha atajado el guardameta del Real Madrid con ese golpeo durísimo, seco con ambas","Disparo potentísimo de Pedri. Y qué bien ha atajado el guardameta del Real Madrid con ese golpeo durísimo, seco con ambas",partido,
245,00:30:22,1822,"manos, aguantando el trallazo de Pedri Lunen. Es muy difícil ese balón. Se va moviendo mucho Jordi. Sabes que no vas a","manos, aguantando el trallazo de Pedri Lunen. Es muy difícil ese balón. Se va moviendo mucho Jordi. Sabes que no vas a",partido,
246,00:30:30,1830,poder blocarlo y tienes que intentar desviarlo hacia un lado. Muy bien. Y luego otra vez Militao. Factor corrector de Militao importante.,poder blocarlo y tienes que intentar desviarlo hacia un lado. Muy bien. Y luego otra vez Militao. Factor corrector de Militao importante.,partido,
247,00:30:38,1838,Se ha servido ya el saque de esquina.,Se ha servido ya el saque de esquina.,partido,
248,00:30:39,1839,"Rodiger para despejar ese balón. Pedri se hace con el cuero, también con D. Pedri cerca de la frontal del área.","Rodiger para despejar ese balón. Pedri se hace con el cuero, también con D. Pedri cerca de la frontal del área.",partido,
249,00:30:44,1844,"Balón colgado para Balde. Hay un pequeño empujón sobre Lucas Vázquez. Se la lleva Rafiña. Rafiña, Rafiña para meter ese balón. Salta Ñigo a la azotea de la portería.","Balón colgado para Balde. Hay un pequeño empujón sobre Lucas Vázquez. Se la lleva Rafiña. Rafiña, Rafiña para meter ese balón. Salta Ñigo a la azotea de la portería.",partido,
250,00:30:55,1855,"Es un estrés de partido tremendo. 28 minutos y medio. Pásame una de esas bolas que te han dado al 103, ¿eh? 24","Es un estrés de partido tremendo. 28 minutos y medio. Pásame una de esas bolas que te han dado al 103, ¿eh? 24",partido,
251,00:31:03,1863,"está jugando. Es una delicia de partido, amigo. Es una delicia de partido, amiga.","está jugando. Es una delicia de partido, amigo. Es una delicia de partido, amiga.",partido,
252,00:31:07,1867,A través de la señal internacional de la Liga. Jugando el equipo blanco. Fede de Valverde. Parece que el equipo blanco ahora le quiere bajar un poquito las revoluciones al partido. Se quejaba Fede,A través de la señal internacional de la Liga. Jugando el equipo blanco. Fede de Valverde. Parece que el equipo blanco ahora le quiere bajar un poquito las revoluciones al partido. Se quejaba Fede,partido,
253,00:31:16,1876,de Valverde. Tenemos al Barça eh presionando en la primera línea de creación del Real Madrid. Balón que puede llegar a Vinicius y Paukuarsí que,de Valverde. Tenemos al Barça eh presionando en la primera línea de creación del Real Madrid. Balón que puede llegar a Vinicius y Paukuarsí que,partido,
254,00:31:24,1884,"está desquiciando al astro brasileño que sigue encarándose con el árbitro. Sí, está ganándole los duelos individuales","está desquiciando al astro brasileño que sigue encarándose con el árbitro. Sí, está ganándole los duelos individuales",partido,
255,00:31:32,1892,"de manera reglamentaria o incluso antirreglamentaria, pero está desquiciando a Vinicius, aunque Vinicius necesita poco para meterse en el partido, ¿eh?","de manera reglamentaria o incluso antirreglamentaria, pero está desquiciando a Vinicius, aunque Vinicius necesita poco para meterse en el partido, ¿eh?",partido,
256,00:31:41,1901,"Sí, alucinante el salto, la potencia de salto de Iñigo Martínez. Vemos ahí a Pedrie, como se encara también con","Sí, alucinante el salto, la potencia de salto de Iñigo Martínez. Vemos ahí a Pedrie, como se encara también con",partido,
257,00:31:49,1909,Vinicius. 29 minutos y medio. La Miña Mal tiene que retroceder para que pueda,Vinicius. 29 minutos y medio. La Miña Mal tiene que retroceder para que pueda,partido,
258,00:31:55,1915,poner el balón en circulación ahora Mendy mientras vemos la acción repetida entre Casadó y Vinicius. Balón largo hacia el costado derecho para Lucas,poner el balón en circulación ahora Mendy mientras vemos la acción repetida entre Casadó y Vinicius. Balón largo hacia el costado derecho para Lucas,partido,
259,00:32:04,1924,Vázquez. Le pasa por detrás Jud Bellingham. Balón filtrado. Es bueno. Vamos a ver. Esquilia de Mbappé.,Vázquez. Le pasa por detrás Jud Bellingham. Balón filtrado. Es bueno. Vamos a ver. Esquilia de Mbappé.,partido,
260,00:32:11,1931,"Qué bueno, qué bueno, qué bueno, qué bueno. Gol.","Qué bueno, qué bueno, qué bueno, qué bueno. Gol.",partido,
261,00:32:16,1936,Gol de Killan Mbappé. A los 30 minutos de la primera parte no había fuera de juego en,Gol de Killan Mbappé. A los 30 minutos de la primera parte no había fuera de juego en,partido,
262,00:32:25,1945,"esta oportunidad y a la sexta ha ídola vencida. Arriesga mucho el Barça, arriesga mucho el cuadro culé y Kilian","esta oportunidad y a la sexta ha ídola vencida. Arriesga mucho el Barça, arriesga mucho el cuadro culé y Kilian",partido,
263,00:32:32,1952,Mbappé marca a esta hora de la noche su primer gol en un clásico de la liga. Ha,Mbappé marca a esta hora de la noche su primer gol en un clásico de la liga. Ha,partido,
264,00:32:39,1959,"marcado Kilian Mbappé ese golpeo de vaselina, de vaselina, de vaselina para volar, para celebrar.","marcado Kilian Mbappé ese golpeo de vaselina, de vaselina, de vaselina para volar, para celebrar.",partido,
265,00:32:46,1966,"Y con ese Real Madrid 1, Fútbol Club Barcelona.","Y con ese Real Madrid 1, Fútbol Club Barcelona.",partido,
266,00:32:53,1973,"Sí, vamos a ver si la posición efectivamente no parece que es válida.","Sí, vamos a ver si la posición efectivamente no parece que es válida.",partido,
267,00:32:57,1977,"Tengo ahí está justo el asistente Iñigo Martínez, el hombro de Mbappé, pero la finalización, Jordi, es un jugador es fantástica","Tengo ahí está justo el asistente Iñigo Martínez, el hombro de Mbappé, pero la finalización, Jordi, es un jugador es fantástica",partido,
268,00:33:04,1984,"que cada vez eh máxima riesgo, máxima No sé si va a subir eh al Sí, tengo dudas del hombro izquierdo de de Kilian, eh.","que cada vez eh máxima riesgo, máxima No sé si va a subir eh al Sí, tengo dudas del hombro izquierdo de Kilian, eh.",partido,
269,00:33:13,1993,"Pues eh el silencio aterrador ahora en el estado de Santiago Bernabeo, porque se está revisando la acción","Pues eh el silencio aterrador ahora en el estado de Santiago Bernabeo, porque se está revisando la acción",partido,
270,00:33:20,2000,"y es fuera de juego, por eso el silencio aterrador. Y ahí tenemos a Mbappé. Sií, la definición es de es de lo que es Mbappé, una un fuera de serie.","y es fuera de juego, por eso el silencio aterrador. Y ahí tenemos a Mbappé. Sií, la definición es de es de lo que es Mbappé, una un fuera de serie.",partido,
271,00:33:29,2009,"Sí, sí, tal cual. De que tenía claro Iñaki Peña, si te fijas, casi siempre pone rodillas en el suelo. Jordi se","Sí, sí, tal cual. De que tenía claro Iñaki Peña, si te fijas, casi siempre pone rodillas en el suelo. Jordi se",partido,
272,00:33:37,2017,"intenta imitar a Terestegen, pero Terestegen creo que ocupa más espacio, más envergadura y yo creo que un estudio previo sobre Ñakiqui Peña, que Ñaki Peña","intenta imitar a Terestegen, pero Terestegen creo que ocupa más espacio, más envergadura y yo creo que un estudio previo sobre Ñakiqui Peña, que Ñaki Peña",partido,
273,00:33:45,2025,"suele agachar mucho por eso gesto de Barcelona, ¿no? Esto está preparado y defino así.","suele agachar mucho por eso gesto de Barcelona, ¿no? Esto está preparado y defino así.",partido,
274,00:33:52,2032,"Pues se ha salvado el primer gol el cuadro Blaugrana, pero ahí está el partido en esos pases para la espalda de","Pues se ha salvado el primer gol el cuadro Blaugrana, pero ahí está el partido en esos pases para la espalda de",partido,
275,00:34:01,2041,la defensa del Barça. Ahí lo vamos a ver el fuera de juego.,la defensa del Barça. Ahí lo vamos a ver el fuera de juego.,partido,
276,00:34:05,2045,"Y ahí se Sí, sí, es fuera de juego. Es fuera de juego por Bueno, medio cuerpo.","Y ahí se Sí, sí, es fuera de juego. Es fuera de juego por Bueno, medio cuerpo.",partido,
